case	name	album	album2	year
-diamondsdancing.html.txt	diamondsdancing	What A Time To Be Alive		2015
-digitaldash.html.txt	digitaldash	What A Time To Be Alive		2015
-imtheplug.html.txt	imtheplug	What A Time To Be Alive		2015
-jersey.html.txt	jersey	What A Time To Be Alive		2015
-jumpman.html.txt	jumpman	What A Time To Be Alive		2015
-livefromthegutter.html.txt	livefromthegutter	What A Time To Be Alive		2015
-plasticbag.html.txt	plasticbag	What A Time To Be Alive		2015
-scholarships.html.txt	scholarships	What A Time To Be Alive		2015
-doitall.html.txt	doitall	Young Sweet Jones		2010
-greatness.html.txt	greatness	Young Sweet Jones		2010
-imreadyforyou.html.txt	imreadyforyou	Young Sweet Jones		2010
-inmybusiness.html.txt	inmybusiness	Young Sweet Jones		2010
-messagesfromyou.html.txt	messagesfromyou	Young Sweet Jones		2010
-parismortonmusic.html.txt	parismortonmusic	Young Sweet Jones		2010
-putitdown.html.txt	putitdown	Young Sweet Jones		2010
-rightaboveit.html.txt	rightaboveit	Young Sweet Jones		2010
-stillgotit.html.txt	stillgotit	Young Sweet Jones		2010
-theresistanceremix.html.txt	theresistanceremix	Young Sweet Jones		2010
-tothefloor.html.txt	tothefloor	Young Sweet Jones		2010
-youknowyouknow.html.txt	youknowyouknow	Young Sweet Jones		2010
-0to100thecatchup.html.txt	0to100thecatchup	Other		
-2onthotful.html.txt	2onthotful	Other		
-4pmincalabasas.html.txt	4pmincalabasas	Other		
-5amintoronto.html.txt	5amintoronto	Other		
-9amindallasfreestyle.html.txt	9amindallasfreestyle	Other		
-alittlefavourgqfreestyle.html.txt	alittlefavourgqfreestyle	Other		
-allwhitesnippet.html.txt	allwhitesnippet	Other		
-backtobackfreestyle.html.txt	backtobackfreestyle	Other		
-barmitzvahin1999.html.txt	barmitzvahin1999	Other		
-believeitornot.html.txt	believeitornot	Other		
-bestieverhadremix77364.html.txt	bestieverhadremix77364	Other		
-bestieverhadremix79041.html.txt	bestieverhadremix79041	Other		
-beyondthis.html.txt	beyondthis	Other		
-brandnewremix.html.txt	brandnewremix	Other		
-cani.html.txt	cani	Other		
-chargedup.html.txt	chargedup	Other		
-clubparadise.html.txt	clubparadise	Other		
-comereal.html.txt	comereal	Other		
-controlla490708.html.txt	controlla490708	Other		
-daysintheeast.html.txt	daysintheeast	Other		
-doitnow.html.txt	doitnow	Other		
-draftday.html.txt	draftday	Other		
-dreamsmoneycanbuy.html.txt	dreamsmoneycanbuy	Other		
-enoughsaid.html.txt	enoughsaid	Other		
-faith.html.txt	faith	Other		
-faithfulextendedversion.html.txt	faithfulextendedversion	Other		
-fallforyourtype.html.txt	fallforyourtype	Other		
-fallingup.html.txt	fallingup	Other		
-forever.html.txt	forever	Other		
-freespirit.html.txt	freespirit	Other		
-girlslovebeyonce.html.txt	girlslovebeyonce	Other		
-goouttonight.html.txt	goouttonight	Other		
-heartthrobbing.html.txt	heartthrobbing	Other		
-heatofthemoment.html.txt	heatofthemoment	Other		
-highinjuly.html.txt	highinjuly	Other		
-holdonweregoinghomeremix.html.txt	holdonweregoinghomeremix	Other		
-howaboutnow.html.txt	howaboutnow	Other		
-hyperemix.html.txt	hyperemix	Other		
-igetlonelytoo.html.txt	igetlonelytoo	Other		
-igetpaper.html.txt	igetpaper	Other		
-itsbeenapleasure.html.txt	itsbeenapleasure	Other		
-jodecifreestyle.html.txt	jodecifreestyle	Other		
-july.html.txt	july	Other		
-kingleon.html.txt	kingleon	Other		
-layinbedalone.html.txt	layinbedalone	Other		
-lightuprikersremix.html.txt	lightuprikersremix	Other		
-noticeme.html.txt	noticeme	Other		
-onawave.html.txt	onawave	Other		
-onedancecultureclashdubplate.html.txt	onedancecultureclashdubplate	Other		
-onemanshow.html.txt	onemanshow	Other		
-purpleflowers.html.txt	purpleflowers	Other		
-ransom.html.txt	ransom	Other		
-righthand.html.txt	righthand	Other		
-roundofapplause.html.txt	roundofapplause	Other		
-samemistakes.html.txt	samemistakes	Other		
-sneakin.html.txt	sneakin	Other		
-something.html.txt	something	Other		
-startedfromthebottomremix.html.txt	startedfromthebottomremix	Other		
-stunthard.html.txt	stunthard	Other		
-summersixteen.html.txt	summersixteen	Other		
